Scenario,Region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SSP5,Albania,38.6186,40.6603,42.702,44.743700000000004,46.7854,48.8271,50.72132,52.61554,54.50976,56.403980000000004,58.2982,60.798100000000005,63.298,65.7979,68.29780000000001,70.7977,73.57394000000001,76.35018000000001,79.12642,81.90266,84.6789,87.07426,89.46961999999999,91.86498,94.26034,96.6557,98.27275999999999,99.88982,101.50688,103.12394,104.741,105.8962,107.0514,108.2066,109.3618,110.517,111.48819999999999,112.4594,113.4306,114.40180000000001,115.373,116.41380000000001,117.4546,118.4954,119.5362,120.577,121.7064,122.8358,123.9652,125.0946,126.224,127.2834,128.3428,129.4022,130.46159999999998,131.521,132.5196,133.5182,134.5168,135.5154,136.514,137.455,138.39600000000002,139.337,140.278,141.219,142.11339999999998,143.0078,143.9022,144.7966,145.691,146.536,147.381,148.226,149.071,149.916,150.7366,151.5572,152.3778,153.1984,154.019
SSP5,Algeria,463.722,479.6352,495.5484,511.4616,527.3748,543.288,553.8656,564.4432,575.0208,585.5984000000001,596.176,613.3774000000001,630.5788,647.7802,664.9816,682.183,708.2666,734.3502,760.4338,786.5174,812.601,850.2188,887.8366,925.4544000000001,963.0722000000001,1000.69,1047.038,1093.386,1139.7340000000002,1186.082,1232.43,1288.258,1344.086,1399.914,1455.742,1511.57,1579.398,1647.2259999999999,1715.054,1782.882,1850.71,1932.096,2013.482,2094.868,2176.254,2257.64,2350.328,2443.016,2535.7039999999997,2628.392,2721.08,2824.816,2928.552,3032.288,3136.0240000000003,3239.76,3354.7920000000004,3469.824,3584.856,3699.888,3814.92,3942.728,4070.536,4198.344,4326.152,4453.96,4596.84,4739.72,4882.599999999999,5025.48,5168.36,5327.896,5487.432,5646.968,5806.504,5966.04,6141.464,6316.888,6492.312,6667.736,6843.16
SSP5,Angola,201.395,206.5234,211.6518,216.7802,221.9086,227.037,236.2144,245.3918,254.5692,263.7466,272.924,286.5822,300.24039999999997,313.8986,327.55679999999995,341.215,361.6386,382.0622,402.4858,422.9094,443.333,473.70120000000003,504.06940000000003,534.4376,564.8058,595.174,636.0486,676.9232,717.7978,758.6724,799.547,852.5716,905.5962000000001,958.6208,1011.6454000000001,1064.67,1132.624,1200.578,1268.5320000000002,1336.486,1404.44,1489.732,1575.0240000000001,1660.316,1745.6080000000002,1830.9,1934.89,2038.88,2142.87,2246.86,2350.85,2475.014,2599.178,2723.342,2847.506,2971.67,3116.1440000000002,3260.618,3405.092,3549.566,3694.04,3858.97,4023.8999999999996,4188.83,4353.759999999999,4518.69,4704.415999999999,4890.142,5075.8679999999995,5261.594,5447.32,5652.987999999999,5858.656,6064.324,6269.992,6475.66,6699.348,6923.036,7146.724,7370.412,7594.1
SSP5,Antigua and Barbuda,1.7409400000000002,1.8593520000000001,1.977764,2.0961760000000003,2.214588,2.333,2.4056800000000003,2.4783600000000003,2.55104,2.62372,2.6964,2.800984,2.905568,3.010152,3.114736,3.21932,3.36622,3.5131200000000002,3.66002,3.80692,3.95382,4.140706,4.327592,4.514478,4.701364,4.88825,5.096554,5.304858,5.513162,5.721466,5.92977,6.16085,6.39193,6.62301,6.85409,7.08517,7.347246,7.609322,7.871398,8.133474,8.39555,8.691978,8.988406,9.284834,9.581261999999999,9.87769,10.200132,10.522574,10.845016,11.167458,11.4899,11.835700000000001,12.1815,12.5273,12.873099999999999,13.2189,13.58166,13.94442,14.30718,14.66994,15.0327,15.4084,15.7841,16.1598,16.5355,16.9112,17.29516,17.67912,18.06308,18.44704,18.831,19.21662,19.60224,19.98786,20.37348,20.7591,21.13702,21.51494,21.892860000000002,22.270780000000002,22.6487
SSP5,Argentina,750.58,772.8122000000001,795.0444,817.2766,839.5088,861.741,885.1262,908.5114,931.8966,955.2818,978.667,1007.5676000000001,1036.4682,1065.3688,1094.2694000000001,1123.17,1163.0140000000001,1202.8580000000002,1242.702,1282.546,1322.39,1372.48,1422.57,1472.66,1522.75,1572.84,1628.9099999999999,1684.98,1741.05,1797.1200000000001,1853.19,1915.16,1977.13,2039.1,2101.07,2163.04,2231.204,2299.368,2367.532,2435.696,2503.86,2578.77,2653.68,2728.59,2803.5,2878.41,2958.8199999999997,3039.23,3119.64,3200.05,3280.46,3364.27,3448.08,3531.8900000000003,3615.7000000000003,3699.51,3785.2920000000004,3871.074,3956.856,4042.638,4128.42,4215.3640000000005,4302.308,4389.252,4476.196,4563.14,4650.2,4737.26,4824.32,4911.38,4998.44,5083.754,5169.068,5254.382,5339.696,5425.01,5505.962,5586.914000000001,5667.866,5748.818,5829.77
SSP5,Armenia,37.5166,40.50004,43.48348,46.466919999999995,49.450359999999996,52.4338,55.120599999999996,57.8074,60.4942,63.181,65.8678,69.29272,72.71764,76.14256,79.56748,82.9924,86.55672,90.12104,93.68536,97.24968,100.814,103.91,107.006,110.10199999999999,113.198,116.294,118.7582,121.22240000000001,123.6866,126.1508,128.615,130.8324,133.0498,135.2672,137.4846,139.702,142.0226,144.3432,146.6638,148.9844,151.305,153.9408,156.5766,159.2124,161.84820000000002,164.484,167.23680000000002,169.9896,172.7424,175.49519999999998,178.248,180.8628,183.4776,186.0924,188.7072,191.322,193.9828,196.6436,199.30440000000002,201.9652,204.626,207.4044,210.18280000000001,212.9612,215.7396,218.518,221.4994,224.48080000000002,227.4622,230.4436,233.425,236.685,239.945,243.205,246.465,249.725,253.3046,256.88419999999996,260.4638,264.0434,267.623
SSP5,Aruba,3.11606,3.413322,3.7105840000000003,4.007846000000001,4.305108000000001,4.6023700000000005,4.663784000000001,4.725198000000001,4.786612,4.848026,4.90944,5.0249880000000005,5.140536,5.256084,5.371632,5.48718,5.649802,5.812424,5.975046000000001,6.137668000000001,6.30029,6.502800000000001,6.70531,6.90782,7.110329999999999,7.31284,7.540532,7.768224,7.995915999999999,8.223608,8.4513,8.708554,8.965807999999999,9.223062,9.480316,9.73757,10.035376,10.333181999999999,10.630988,10.928794,11.2266,11.56114,11.89568,12.23022,12.56476,12.8993,13.262080000000001,13.62486,13.98764,14.35042,14.7132,15.10248,15.491760000000001,15.88104,16.27032,16.6596,17.07222,17.484840000000002,17.89746,18.31008,18.7227,19.1539,19.5851,20.016299999999998,20.447499999999998,20.8787,21.32396,21.76922,22.21448,22.65974,23.105,23.55716,24.00932,24.46148,24.91364,25.3658,25.81308,26.26036,26.70764,27.15492,27.6022
SSP5,Australia,1202.79,1238.908,1275.026,1311.144,1347.2620000000002,1383.38,1423.76,1464.14,1504.52,1544.9,1585.28,1642.894,1700.508,1758.1219999999998,1815.7359999999999,1873.35,1951.6499999999999,2029.9499999999998,2108.25,2186.5499999999997,2264.85,2360.8759999999997,2456.902,2552.928,2648.954,2744.98,2848.188,2951.396,3054.604,3157.812,3261.02,3370.582,3480.144,3589.706,3699.268,3808.83,3928.558,4048.286,4168.014,4287.742,4407.47,4537.662,4667.854,4798.046,4928.238,5058.43,5196.918000000001,5335.406,5473.894,5612.382,5750.87,5895.066,6039.262,6183.4580000000005,6327.654,6471.85,6619.280000000001,6766.71,6914.14,7061.57,7209.0,7354.848,7500.696,7646.544,7792.392,7938.24,8076.871999999999,8215.503999999999,8354.136,8492.768,8631.4,8759.279999999999,8887.16,9015.039999999999,9142.92,9270.8,9387.34,9503.88,9620.42,9736.96,9853.5
SSP5,Austria,435.834,445.6748,455.5156,465.3564,475.1972,485.038,495.2764,505.51480000000004,515.7532,525.9916000000001,536.23,547.561,558.892,570.223,581.554,592.885,607.4198,621.9546,636.4893999999999,651.0242,665.559,682.0862,698.6134,715.1406000000001,731.6678,748.195,764.9680000000001,781.741,798.514,815.2869999999999,832.06,849.6232,867.1863999999999,884.7496,902.3127999999999,919.876,938.9508,958.0255999999999,977.1004,996.1752,1015.25,1035.814,1056.378,1076.942,1097.5059999999999,1118.07,1139.652,1161.234,1182.816,1204.398,1225.98,1248.228,1270.476,1292.724,1314.972,1337.22,1359.464,1381.708,1403.952,1426.1960000000001,1448.44,1468.882,1489.324,1509.766,1530.208,1550.65,1568.626,1586.602,1604.578,1622.554,1640.53,1655.526,1670.522,1685.518,1700.514,1715.51,1727.796,1740.082,1752.368,1764.654,1776.94
SSP5,Azerbaijan,138.624,143.8958,149.1676,154.4394,159.7112,164.983,169.35580000000002,173.7286,178.1014,182.4742,186.847,192.33780000000002,197.8286,203.3194,208.81019999999998,214.301,222.176,230.051,237.926,245.801,253.676,264.1594,274.6428,285.1262,295.6096,306.093,318.1298,330.1666,342.2034,354.2402,366.277,379.5856,392.8942,406.20279999999997,419.5114,432.82,447.679,462.538,477.397,492.25600000000003,507.115,523.5686000000001,540.0222,556.4758,572.9294,589.383,607.2610000000001,625.139,643.017,660.895,678.773,697.8874000000001,717.0018,736.1162,755.2306,774.345,794.663,814.981,835.299,855.617,875.935,897.6282,919.3213999999999,941.0146,962.7077999999999,984.401,1007.6307999999999,1030.8606,1054.0904,1077.3201999999999,1100.55,1125.2459999999999,1149.942,1174.638,1199.334,1224.03,1250.018,1276.006,1301.994,1327.982,1353.97
