Year,GDP_baseline,GDP,Temp,Emissions,Damages,SSP
2020,123959.23437599998,123482.63591167115,1.252958547527486,35.30569835165744,476.59846432884467,SSP2
2021,128449.5160514826,127911.10106458598,1.307462604818751,36.336038194176545,538.4149868966261,SSP2
2022,132857.16179777295,132250.76795282683,1.3628112898400289,36.89912334751863,606.393844946119,SSP2
2023,137174.25360805227,136494.02434267604,1.4188268753647717,37.343723683161876,680.2292653762175,SSP2
2024,141393.09507350967,140633.1218775213,1.4754194926783306,37.72841154237263,759.9731959883413,SSP2
2025,145505.86061216553,144660.14805098157,1.5325003903344347,38.05393177073607,845.7125611839648,SSP2
2026,149467.06002552167,148529.80464743698,1.5899938785150514,38.328992120411044,937.2553780846949,SSP2
2027,153306.57416718238,152271.75862038252,1.6478135705561665,38.546461360743486,1034.8155467998492,SSP2
2028,157016.28506516936,155877.94476928364,1.7058743183971077,38.7071652272941,1138.34029588573,SSP2
2029,160588.07423649105,159340.3499931668,1.7640923052315465,38.81199122295928,1247.7242433242195,SSP2
2030,164013.88307702896,162651.07567609986,1.8223851523952233,38.86189810911778,1362.807400929124,SSP2
2031,167466.53327107016,165981.55660928925,1.8807109715131172,38.8838794119293,1484.9766617809726,SSP2
2032,170754.31407782444,169141.71256660466,1.9389880011169027,38.85135306919037,1612.6015112198036,SSP2
2033,173869.39617596386,172124.03765579304,1.9971363635427213,38.765574950545755,1745.358520170819,SSP2
2034,176804.26321301798,174921.3971282256,2.055078211249583,38.62789847124128,1882.8660847924236,SSP2
2035,179551.78091234656,177527.09487498523,2.1127378790095057,38.43977850661499,2024.6860373613285,SSP2
2036,182120.40089005296,179949.89436097548,2.1700175437224907,38.18644314199008,2170.506529077459,SSP2
2037,184488.45746614935,182168.89030880106,2.226847479210985,37.88662365899599,2319.567157348277,SSP2
2038,186650.3902130305,184179.11502705014,2.2831606553268493,37.54211741057658,2471.2751859803716,SSP2
2039,188601.2792958349,185976.28212725394,2.338892885306821,37.15481998664754,2624.9971685809223,SSP2
2040,190336.89766886196,187556.83290441422,2.3939829667613015,36.72672096965385,2780.0647644477745,SSP2
2041,192055.042025176,189116.18074731063,2.4484148753940076,36.28793908847042,2938.8612778654087,SSP2
2042,193545.55745177472,190447.67818998208,2.502130514875433,35.81042632095051,3097.879261792639,SSP2
2043,194806.15854107036,191549.78765994808,2.555075218329334,35.29646896926737,3256.370881122254,SSP2
2044,195835.41185182903,192421.83357144936,2.6071978473461694,34.74841934455677,3413.578280379709,SSP2
2045,196632.7556779366,193064.01406669203,2.658450875579114,34.168685488629805,3568.7416112445444,SSP2
2046,197391.9515098012,193667.19419919894,2.7088251108966617,33.58282354503177,3724.7573106022846,SSP2
2047,197913.46409452945,194035.99330192682,2.758277453299124,32.96822826830815,3877.470792602629,SSP2
2048,198199.07134584905,194172.93224437354,2.806768664383612,32.32747405632551,4026.139101475521,SSP2
2049,198251.44313477023,194081.39702354628,2.8542633819402132,31.6631450377339,4170.046111223928,SSP2
2050,198074.1199962907,193765.61016526358,2.900730115125588,30.977822123583287,4308.509831027153,SSP2
2051,197866.86375103088,193421.5852098104,2.9461701754723166,30.2933735644858,4445.278541220498,SSP2
2052,197430.69999976672,192855.16792383319,2.9905569660805416,29.591193738816436,4575.532075933552,SSP2
2053,196771.36994329555,192072.67413690206,3.0338677567717793,28.873860460825085,4698.695806393476,SSP2
2054,195895.3613223154,191081.11057517712,3.0760836056747256,28.14389926863104,4814.25074713829,SSP2
2055,194809.8528375753,189888.115305168,3.117189263668778,27.403771996034923,4921.737532407356,SSP2
2056,193769.12349999652,188741.96961345512,3.1572114715580497,26.68147192618121,5027.153886541396,SSP2
2057,192522.28877652297,187398.4008531507,3.1961382602649127,25.95119247124167,5123.887923372251,SSP2
